16:41:45.150 | === Inference Log Started ===
16:41:55.407 | FPS:1.8 | mouse_delta:(+0.258, -0.038) | mouse_px:(+11, -1) | pressed:[1,2,a,d,f,mouse4,space,w] | keys: fire:0.417 | second_fire:0.419 | forward:0.566 | back:0.414 | left:0.533 | right:0.574 | jump:0.505 | crouch:0.478 | shift:0.494 | weapon1:0.504 | weapon2:0.542 | weapon3:0.483 | c4:0.449 | reload:0.469 | he:0.490 | molotov:0.511 | smoke:0.489 | flash:0.560 | decoy:0.489 | use:0.464
16:41:55.736 | FPS:1.8 | mouse_delta:(+0.259, -0.038) | mouse_px:(+11, -1) | pressed:[1,2,a,d,f,mouse4,space,w] | keys: fire:0.418 | second_fire:0.419 | forward:0.566 | back:0.414 | left:0.533 | right:0.574 | jump:0.506 | crouch:0.477 | shift:0.495 | weapon1:0.503 | weapon2:0.542 | weapon3:0.483 | c4:0.449 | reload:0.469 | he:0.490 | molotov:0.511 | smoke:0.489 | flash:0.560 | decoy:0.489 | use:0.464
16:41:56.077 | FPS:1.9 | mouse_delta:(+0.259, -0.038) | mouse_px:(+11, -1) | pressed:[1,2,a,d,f,mouse4,space,w] | keys: fire:0.418 | second_fire:0.419 | forward:0.566 | back:0.414 | left:0.533 | right:0.574 | jump:0.506 | crouch:0.477 | shift:0.495 | weapon1:0.503 | weapon2:0.541 | weapon3:0.482 | c4:0.449 | reload:0.469 | he:0.491 | molotov:0.511 | smoke:0.490 | flash:0.560 | decoy:0.489 | use:0.464
16:41:56.402 | FPS:1.9 | mouse_delta:(+0.259, -0.038) | mouse_px:(+11, -1) | pressed:[1,2,a,d,f,mouse4,space,w] | keys: fire:0.419 | second_fire:0.419 | forward:0.566 | back:0.415 | left:0.533 | right:0.574 | jump:0.507 | crouch:0.477 | shift:0.496 | weapon1:0.502 | weapon2:0.541 | weapon3:0.481 | c4:0.449 | reload:0.469 | he:0.491 | molotov:0.511 | smoke:0.491 | flash:0.560 | decoy:0.489 | use:0.464
16:41:56.720 | FPS:2.0 | mouse_delta:(+0.259, -0.038) | mouse_px:(+11, -1) | pressed:[1,2,a,d,f,mouse4,space,w] | keys: fire:0.420 | second_fire:0.419 | forward:0.566 | back:0.415 | left:0.533 | right:0.575 | jump:0.508 | crouch:0.477 | shift:0.496 | weapon1:0.502 | weapon2:0.541 | weapon3:0.481 | c4:0.449 | reload:0.469 | he:0.491 | molotov:0.512 | smoke:0.491 | flash:0.561 | decoy:0.489 | use:0.465
16:41:57.055 | FPS:2.0 | mouse_delta:(+0.259, -0.038) | mouse_px:(+11, -1) | pressed:[1,2,a,d,f,mouse4,space,w] | keys: fire:0.420 | second_fire:0.419 | forward:0.566 | back:0.415 | left:0.533 | right:0.575 | jump:0.509 | crouch:0.477 | shift:0.497 | weapon1:0.501 | weapon2:0.541 | weapon3:0.480 | c4:0.449 | reload:0.469 | he:0.490 | molotov:0.512 | smoke:0.492 | flash:0.561 | decoy:0.489 | use:0.465
16:41:57.393 | FPS:2.0 | mouse_delta:(+0.259, -0.038) | mouse_px:(+11, -1) | pressed:[1,2,a,d,f,mouse4,space,w] | keys: fire:0.421 | second_fire:0.419 | forward:0.566 | back:0.415 | left:0.532 | right:0.575 | jump:0.509 | crouch:0.477 | shift:0.497 | weapon1:0.501 | weapon2:0.541 | weapon3:0.480 | c4:0.449 | reload:0.468 | he:0.490 | molotov:0.512 | smoke:0.492 | flash:0.561 | decoy:0.489 | use:0.465
16:41:57.731 | FPS:2.1 | mouse_delta:(+0.259, -0.038) | mouse_px:(+11, -1) | pressed:[1,2,a,d,f,mouse4,space,w] | keys: fire:0.421 | second_fire:0.419 | forward:0.565 | back:0.415 | left:0.532 | right:0.575 | jump:0.509 | crouch:0.476 | shift:0.497 | weapon1:0.501 | weapon2:0.541 | weapon3:0.480 | c4:0.449 | reload:0.468 | he:0.490 | molotov:0.512 | smoke:0.492 | flash:0.561 | decoy:0.489 | use:0.465
16:41:58.066 | FPS:2.1 | mouse_delta:(+0.259, -0.037) | mouse_px:(+11, -1) | pressed:[1,2,a,d,f,mouse4,space,w] | keys: fire:0.421 | second_fire:0.419 | forward:0.565 | back:0.415 | left:0.532 | right:0.575 | jump:0.510 | crouch:0.476 | shift:0.498 | weapon1:0.500 | weapon2:0.541 | weapon3:0.479 | c4:0.450 | reload:0.468 | he:0.490 | molotov:0.512 | smoke:0.492 | flash:0.561 | decoy:0.489 | use:0.465
16:41:58.404 | FPS:2.1 | mouse_delta:(+0.259, -0.037) | mouse_px:(+11, -1) | pressed:[1,2,a,d,f,mouse4,space,w] | keys: fire:0.421 | second_fire:0.419 | forward:0.565 | back:0.415 | left:0.532 | right:0.575 | jump:0.510 | crouch:0.476 | shift:0.498 | weapon1:0.500 | weapon2:0.541 | weapon3:0.479 | c4:0.450 | reload:0.468 | he:0.490 | molotov:0.512 | smoke:0.493 | flash:0.562 | decoy:0.489 | use:0.465
16:41:58.740 | FPS:2.2 | mouse_delta:(+0.259, -0.037) | mouse_px:(+11, -1) | pressed:[1,2,a,d,f,mouse4,space,w] | keys: fire:0.421 | second_fire:0.419 | forward:0.565 | back:0.415 | left:0.533 | right:0.575 | jump:0.510 | crouch:0.476 | shift:0.498 | weapon1:0.500 | weapon2:0.541 | weapon3:0.479 | c4:0.450 | reload:0.468 | he:0.490 | molotov:0.512 | smoke:0.493 | flash:0.562 | decoy:0.489 | use:0.465
16:41:59.076 | FPS:2.2 | mouse_delta:(+0.259, -0.036) | mouse_px:(+11, -1) | pressed:[1,2,a,d,f,mouse4,space,w] | keys: fire:0.421 | second_fire:0.419 | forward:0.565 | back:0.415 | left:0.533 | right:0.576 | jump:0.510 | crouch:0.477 | shift:0.498 | weapon1:0.500 | weapon2:0.541 | weapon3:0.479 | c4:0.450 | reload:0.467 | he:0.490 | molotov:0.512 | smoke:0.493 | flash:0.562 | decoy:0.489 | use:0.465
16:41:59.411 | FPS:2.2 | mouse_delta:(+0.259, -0.036) | mouse_px:(+11, -1) | pressed:[1,2,a,d,f,mouse4,space,w] | keys: fire:0.421 | second_fire:0.420 | forward:0.565 | back:0.415 | left:0.533 | right:0.576 | jump:0.510 | crouch:0.477 | shift:0.498 | weapon1:0.500 | weapon2:0.541 | weapon3:0.479 | c4:0.450 | reload:0.467 | he:0.490 | molotov:0.513 | smoke:0.493 | flash:0.562 | decoy:0.489 | use:0.465
16:41:59.742 | FPS:2.2 | mouse_delta:(+0.259, -0.036) | mouse_px:(+11, -1) | pressed:[1,2,a,d,f,mouse4,space,w] | keys: fire:0.422 | second_fire:0.420 | forward:0.565 | back:0.415 | left:0.533 | right:0.576 | jump:0.510 | crouch:0.477 | shift:0.498 | weapon1:0.500 | weapon2:0.541 | weapon3:0.479 | c4:0.450 | reload:0.467 | he:0.490 | molotov:0.513 | smoke:0.493 | flash:0.562 | decoy:0.490 | use:0.465
16:42:00.080 | FPS:2.2 | mouse_delta:(+0.259, -0.036) | mouse_px:(+11, -1) | pressed:[1,2,a,d,f,mouse4,space,w] | keys: fire:0.422 | second_fire:0.420 | forward:0.565 | back:0.415 | left:0.533 | right:0.576 | jump:0.510 | crouch:0.477 | shift:0.498 | weapon1:0.500 | weapon2:0.541 | weapon3:0.479 | c4:0.450 | reload:0.467 | he:0.490 | molotov:0.513 | smoke:0.493 | flash:0.562 | decoy:0.490 | use:0.465
16:42:00.426 | FPS:2.3 | mouse_delta:(+0.259, -0.036) | mouse_px:(+11, -1) | pressed:[1,2,a,d,f,mouse4,space,w] | keys: fire:0.422 | second_fire:0.420 | forward:0.565 | back:0.415 | left:0.533 | right:0.576 | jump:0.511 | crouch:0.477 | shift:0.498 | weapon1:0.500 | weapon2:0.541 | weapon3:0.479 | c4:0.450 | reload:0.467 | he:0.490 | molotov:0.513 | smoke:0.493 | flash:0.562 | decoy:0.490 | use:0.465
16:42:00.761 | FPS:2.3 | mouse_delta:(+0.258, -0.036) | mouse_px:(+11, -1) | pressed:[1,2,a,d,f,mouse4,space,w] | keys: fire:0.422 | second_fire:0.420 | forward:0.565 | back:0.415 | left:0.533 | right:0.576 | jump:0.511 | crouch:0.477 | shift:0.498 | weapon1:0.500 | weapon2:0.541 | weapon3:0.479 | c4:0.450 | reload:0.467 | he:0.490 | molotov:0.513 | smoke:0.492 | flash:0.562 | decoy:0.490 | use:0.465
16:42:01.092 | FPS:2.3 | mouse_delta:(+0.258, -0.036) | mouse_px:(+11, -1) | pressed:[1,2,a,d,f,mouse4,space,w] | keys: fire:0.422 | second_fire:0.420 | forward:0.565 | back:0.415 | left:0.533 | right:0.576 | jump:0.511 | crouch:0.477 | shift:0.498 | weapon1:0.500 | weapon2:0.541 | weapon3:0.479 | c4:0.450 | reload:0.466 | he:0.490 | molotov:0.513 | smoke:0.492 | flash:0.562 | decoy:0.490 | use:0.465
16:42:01.437 | FPS:2.2 | mouse_delta:(+0.258, -0.036) | mouse_px:(+11, -1) | pressed:[1,2,a,d,f,mouse4,space,w] | keys: fire:0.421 | second_fire:0.420 | forward:0.565 | back:0.415 | left:0.533 | right:0.576 | jump:0.510 | crouch:0.477 | shift:0.498 | weapon1:0.501 | weapon2:0.541 | weapon3:0.479 | c4:0.450 | reload:0.466 | he:0.489 | molotov:0.513 | smoke:0.492 | flash:0.562 | decoy:0.490 | use:0.464
16:42:01.774 | FPS:2.9 | mouse_delta:(+0.257, -0.035) | mouse_px:(+11, -1) | pressed:[1,2,a,d,f,mouse4,space,w] | keys: fire:0.421 | second_fire:0.420 | forward:0.565 | back:0.415 | left:0.533 | right:0.575 | jump:0.510 | crouch:0.477 | shift:0.497 | weapon1:0.501 | weapon2:0.541 | weapon3:0.479 | c4:0.450 | reload:0.466 | he:0.489 | molotov:0.513 | smoke:0.492 | flash:0.562 | decoy:0.490 | use:0.464
16:42:02.128 | FPS:3.0 | mouse_delta:(+0.257, -0.035) | mouse_px:(+11, -1) | pressed:[1,2,a,d,f,mouse4,space,w] | keys: fire:0.421 | second_fire:0.420 | forward:0.565 | back:0.414 | left:0.533 | right:0.575 | jump:0.510 | crouch:0.478 | shift:0.497 | weapon1:0.502 | weapon2:0.542 | weapon3:0.479 | c4:0.450 | reload:0.466 | he:0.489 | molotov:0.513 | smoke:0.491 | flash:0.563 | decoy:0.490 | use:0.463
16:42:02.471 | FPS:3.0 | mouse_delta:(+0.257, -0.036) | mouse_px:(+11, -1) | pressed:[1,2,a,d,f,mouse4,space,w] | keys: fire:0.420 | second_fire:0.421 | forward:0.565 | back:0.414 | left:0.534 | right:0.575 | jump:0.510 | crouch:0.478 | shift:0.497 | weapon1:0.503 | weapon2:0.542 | weapon3:0.479 | c4:0.450 | reload:0.466 | he:0.489 | molotov:0.513 | smoke:0.491 | flash:0.563 | decoy:0.490 | use:0.463
16:42:02.818 | FPS:3.0 | mouse_delta:(+0.257, -0.036) | mouse_px:(+11, -1) | pressed:[1,2,a,d,f,mouse4,space,w] | keys: fire:0.419 | second_fire:0.421 | forward:0.565 | back:0.414 | left:0.534 | right:0.574 | jump:0.509 | crouch:0.479 | shift:0.496 | weapon1:0.503 | weapon2:0.542 | weapon3:0.480 | c4:0.450 | reload:0.467 | he:0.489 | molotov:0.513 | smoke:0.490 | flash:0.563 | decoy:0.490 | use:0.462
16:42:03.168 | FPS:3.0 | mouse_delta:(+0.257, -0.036) | mouse_px:(+11, -1) | pressed:[1,2,a,d,f,mouse4,space,w] | keys: fire:0.419 | second_fire:0.421 | forward:0.566 | back:0.413 | left:0.534 | right:0.574 | jump:0.509 | crouch:0.479 | shift:0.496 | weapon1:0.504 | weapon2:0.543 | weapon3:0.481 | c4:0.450 | reload:0.467 | he:0.489 | molotov:0.513 | smoke:0.490 | flash:0.563 | decoy:0.490 | use:0.462
16:42:03.509 | FPS:3.0 | mouse_delta:(+0.257, -0.036) | mouse_px:(+11, -1) | pressed:[1,2,a,d,f,mouse4,space,w] | keys: fire:0.419 | second_fire:0.421 | forward:0.566 | back:0.413 | left:0.534 | right:0.574 | jump:0.509 | crouch:0.479 | shift:0.496 | weapon1:0.504 | weapon2:0.543 | weapon3:0.481 | c4:0.450 | reload:0.467 | he:0.489 | molotov:0.513 | smoke:0.490 | flash:0.563 | decoy:0.490 | use:0.462
16:42:03.848 | FPS:3.0 | mouse_delta:(+0.256, -0.036) | mouse_px:(+11, -1) | pressed:[1,2,a,d,f,mouse4,space,w] | keys: fire:0.419 | second_fire:0.421 | forward:0.566 | back:0.413 | left:0.534 | right:0.574 | jump:0.509 | crouch:0.479 | shift:0.496 | weapon1:0.504 | weapon2:0.543 | weapon3:0.481 | c4:0.450 | reload:0.467 | he:0.489 | molotov:0.513 | smoke:0.490 | flash:0.563 | decoy:0.490 | use:0.462
16:42:04.181 | FPS:3.0 | mouse_delta:(+0.256, -0.036) | mouse_px:(+11, -1) | pressed:[1,2,a,d,f,mouse4,space,w] | keys: fire:0.418 | second_fire:0.421 | forward:0.566 | back:0.413 | left:0.534 | right:0.574 | jump:0.509 | crouch:0.479 | shift:0.496 | weapon1:0.504 | weapon2:0.543 | weapon3:0.481 | c4:0.450 | reload:0.467 | he:0.489 | molotov:0.513 | smoke:0.489 | flash:0.563 | decoy:0.490 | use:0.462
16:42:04.524 | FPS:3.0 | mouse_delta:(+0.255, -0.036) | mouse_px:(+11, -1) | pressed:[1,2,a,d,f,mouse4,space,w] | keys: fire:0.418 | second_fire:0.421 | forward:0.566 | back:0.413 | left:0.534 | right:0.574 | jump:0.509 | crouch:0.479 | shift:0.496 | weapon1:0.504 | weapon2:0.543 | weapon3:0.481 | c4:0.450 | reload:0.467 | he:0.489 | molotov:0.513 | smoke:0.489 | flash:0.563 | decoy:0.490 | use:0.462
16:42:04.870 | FPS:3.0 | mouse_delta:(+0.255, -0.036) | mouse_px:(+11, -1) | pressed:[1,2,a,d,f,mouse4,space,w] | keys: fire:0.418 | second_fire:0.421 | forward:0.565 | back:0.414 | left:0.534 | right:0.574 | jump:0.508 | crouch:0.479 | shift:0.496 | weapon1:0.505 | weapon2:0.543 | weapon3:0.481 | c4:0.450 | reload:0.467 | he:0.489 | molotov:0.513 | smoke:0.489 | flash:0.563 | decoy:0.490 | use:0.462
16:42:05.219 | FPS:3.0 | mouse_delta:(+0.255, -0.036) | mouse_px:(+11, -1) | pressed:[1,2,a,d,f,mouse4,space,w] | keys: fire:0.419 | second_fire:0.421 | forward:0.565 | back:0.414 | left:0.534 | right:0.574 | jump:0.508 | crouch:0.479 | shift:0.496 | weapon1:0.505 | weapon2:0.543 | weapon3:0.481 | c4:0.450 | reload:0.467 | he:0.489 | molotov:0.513 | smoke:0.489 | flash:0.563 | decoy:0.490 | use:0.462
16:42:05.572 | FPS:3.0 | mouse_delta:(+0.255, -0.037) | mouse_px:(+11, -1) | pressed:[1,2,a,d,f,mouse4,space,w] | keys: fire:0.419 | second_fire:0.420 | forward:0.565 | back:0.414 | left:0.534 | right:0.574 | jump:0.508 | crouch:0.479 | shift:0.496 | weapon1:0.505 | weapon2:0.543 | weapon3:0.482 | c4:0.450 | reload:0.467 | he:0.489 | molotov:0.513 | smoke:0.489 | flash:0.563 | decoy:0.490 | use:0.462
16:42:05.947 | FPS:3.0 | mouse_delta:(+0.254, -0.037) | mouse_px:(+11, -1) | pressed:[1,2,a,d,f,mouse4,space,w] | keys: fire:0.419 | second_fire:0.420 | forward:0.565 | back:0.414 | left:0.534 | right:0.574 | jump:0.508 | crouch:0.479 | shift:0.496 | weapon1:0.505 | weapon2:0.543 | weapon3:0.482 | c4:0.450 | reload:0.468 | he:0.489 | molotov:0.513 | smoke:0.489 | flash:0.563 | decoy:0.491 | use:0.462
16:42:06.291 | FPS:2.9 | mouse_delta:(+0.254, -0.037) | mouse_px:(+11, -1) | pressed:[1,2,a,d,f,mouse4,space,w] | keys: fire:0.419 | second_fire:0.420 | forward:0.565 | back:0.414 | left:0.534 | right:0.574 | jump:0.508 | crouch:0.479 | shift:0.496 | weapon1:0.505 | weapon2:0.543 | weapon3:0.482 | c4:0.450 | reload:0.468 | he:0.490 | molotov:0.513 | smoke:0.489 | flash:0.563 | decoy:0.491 | use:0.462
16:42:06.636 | FPS:2.9 | mouse_delta:(+0.254, -0.037) | mouse_px:(+11, -1) | pressed:[1,2,a,d,f,mouse4,space,w] | keys: fire:0.418 | second_fire:0.420 | forward:0.565 | back:0.414 | left:0.534 | right:0.574 | jump:0.508 | crouch:0.479 | shift:0.496 | weapon1:0.505 | weapon2:0.542 | weapon3:0.482 | c4:0.450 | reload:0.468 | he:0.490 | molotov:0.513 | smoke:0.489 | flash:0.563 | decoy:0.491 | use:0.462
16:42:06.986 | FPS:2.9 | mouse_delta:(+0.254, -0.037) | mouse_px:(+11, -1) | pressed:[1,2,a,d,f,mouse4,space,w] | keys: fire:0.418 | second_fire:0.420 | forward:0.565 | back:0.414 | left:0.534 | right:0.574 | jump:0.507 | crouch:0.479 | shift:0.496 | weapon1:0.505 | weapon2:0.542 | weapon3:0.482 | c4:0.450 | reload:0.468 | he:0.490 | molotov:0.513 | smoke:0.489 | flash:0.562 | decoy:0.491 | use:0.462
