17:20:37.529 | === Inference Log Started ===
17:20:40.501 | DIAG: scene_frames=1 | radar_frames=1 | state=NO | audio=YES
17:20:46.618 | FPS:2.5 | mouse_delta:(-0.022, +0.005) | mouse_px:(+0, +0) | pressed:[none] | keys: fire:0.002 | second_fire:0.004 | forward:0.006 | back:0.001 | left:0.003 | right:0.001 | jump:0.000 | crouch:0.000 | shift:0.001 | weapon1:0.000 | weapon2:0.000 | weapon3:0.001 | c4:0.000 | reload:0.000 | he:0.000 | molotov:0.000 | smoke:0.001 | flash:0.000 | decoy:0.000 | use:0.004
17:20:46.838 | FPS:2.6 | mouse_delta:(-0.022, +0.005) | mouse_px:(+0, +0) | pressed:[none] | keys: fire:0.002 | second_fire:0.004 | forward:0.006 | back:0.001 | left:0.003 | right:0.001 | jump:0.000 | crouch:0.000 | shift:0.001 | weapon1:0.000 | weapon2:0.000 | weapon3:0.001 | c4:0.000 | reload:0.000 | he:0.000 | molotov:0.000 | smoke:0.001 | flash:0.000 | decoy:0.000 | use:0.004
17:20:47.069 | FPS:2.7 | mouse_delta:(-0.022, +0.005) | mouse_px:(+0, +0) | pressed:[none] | keys: fire:0.002 | second_fire:0.004 | forward:0.006 | back:0.001 | left:0.003 | right:0.001 | jump:0.000 | crouch:0.000 | shift:0.001 | weapon1:0.000 | weapon2:0.000 | weapon3:0.001 | c4:0.000 | reload:0.000 | he:0.000 | molotov:0.000 | smoke:0.001 | flash:0.000 | decoy:0.000 | use:0.004
17:20:47.352 | FPS:2.7 | mouse_delta:(-0.022, +0.005) | mouse_px:(+0, +0) | pressed:[none] | keys: fire:0.002 | second_fire:0.004 | forward:0.006 | back:0.001 | left:0.003 | right:0.001 | jump:0.000 | crouch:0.000 | shift:0.001 | weapon1:0.000 | weapon2:0.000 | weapon3:0.001 | c4:0.000 | reload:0.000 | he:0.000 | molotov:0.000 | smoke:0.001 | flash:0.000 | decoy:0.000 | use:0.004
17:20:47.611 | FPS:2.8 | mouse_delta:(-0.022, +0.005) | mouse_px:(+0, +0) | pressed:[none] | keys: fire:0.002 | second_fire:0.004 | forward:0.006 | back:0.001 | left:0.003 | right:0.001 | jump:0.000 | crouch:0.000 | shift:0.001 | weapon1:0.000 | weapon2:0.000 | weapon3:0.001 | c4:0.000 | reload:0.000 | he:0.000 | molotov:0.000 | smoke:0.001 | flash:0.000 | decoy:0.000 | use:0.004
17:20:47.839 | FPS:2.8 | mouse_delta:(-0.022, +0.005) | mouse_px:(+0, +0) | pressed:[none] | keys: fire:0.002 | second_fire:0.004 | forward:0.006 | back:0.001 | left:0.003 | right:0.001 | jump:0.000 | crouch:0.000 | shift:0.001 | weapon1:0.000 | weapon2:0.000 | weapon3:0.001 | c4:0.000 | reload:0.000 | he:0.000 | molotov:0.000 | smoke:0.001 | flash:0.000 | decoy:0.000 | use:0.004
17:20:48.053 | FPS:2.9 | mouse_delta:(-0.022, +0.005) | mouse_px:(+0, +0) | pressed:[none] | keys: fire:0.002 | second_fire:0.004 | forward:0.006 | back:0.001 | left:0.003 | right:0.001 | jump:0.000 | crouch:0.000 | shift:0.001 | weapon1:0.000 | weapon2:0.000 | weapon3:0.001 | c4:0.000 | reload:0.000 | he:0.000 | molotov:0.000 | smoke:0.001 | flash:0.000 | decoy:0.000 | use:0.004
17:20:48.256 | FPS:2.9 | mouse_delta:(-0.022, +0.005) | mouse_px:(+0, +0) | pressed:[none] | keys: fire:0.002 | second_fire:0.004 | forward:0.006 | back:0.001 | left:0.003 | right:0.001 | jump:0.000 | crouch:0.000 | shift:0.001 | weapon1:0.000 | weapon2:0.000 | weapon3:0.001 | c4:0.000 | reload:0.000 | he:0.000 | molotov:0.000 | smoke:0.001 | flash:0.000 | decoy:0.000 | use:0.004
17:20:48.462 | FPS:3.0 | mouse_delta:(-0.022, +0.005) | mouse_px:(+0, +0) | pressed:[none] | keys: fire:0.002 | second_fire:0.004 | forward:0.006 | back:0.001 | left:0.003 | right:0.001 | jump:0.000 | crouch:0.000 | shift:0.001 | weapon1:0.000 | weapon2:0.000 | weapon3:0.001 | c4:0.000 | reload:0.000 | he:0.000 | molotov:0.000 | smoke:0.001 | flash:0.000 | decoy:0.000 | use:0.004
17:20:48.681 | FPS:3.0 | mouse_delta:(-0.022, +0.005) | mouse_px:(+0, +0) | pressed:[none] | keys: fire:0.002 | second_fire:0.004 | forward:0.006 | back:0.001 | left:0.003 | right:0.001 | jump:0.000 | crouch:0.000 | shift:0.001 | weapon1:0.000 | weapon2:0.000 | weapon3:0.001 | c4:0.000 | reload:0.000 | he:0.000 | molotov:0.000 | smoke:0.001 | flash:0.000 | decoy:0.000 | use:0.004
17:20:48.887 | FPS:3.1 | mouse_delta:(-0.022, +0.005) | mouse_px:(+0, +0) | pressed:[none] | keys: fire:0.002 | second_fire:0.004 | forward:0.006 | back:0.001 | left:0.003 | right:0.001 | jump:0.000 | crouch:0.000 | shift:0.001 | weapon1:0.000 | weapon2:0.000 | weapon3:0.001 | c4:0.000 | reload:0.000 | he:0.000 | molotov:0.000 | smoke:0.001 | flash:0.000 | decoy:0.000 | use:0.004
17:20:49.091 | FPS:3.1 | mouse_delta:(-0.022, +0.005) | mouse_px:(+0, +0) | pressed:[none] | keys: fire:0.002 | second_fire:0.004 | forward:0.006 | back:0.001 | left:0.003 | right:0.001 | jump:0.000 | crouch:0.000 | shift:0.001 | weapon1:0.000 | weapon2:0.000 | weapon3:0.001 | c4:0.000 | reload:0.000 | he:0.000 | molotov:0.000 | smoke:0.001 | flash:0.000 | decoy:0.000 | use:0.004
17:20:49.309 | FPS:3.1 | mouse_delta:(-0.022, +0.005) | mouse_px:(+0, +0) | pressed:[none] | keys: fire:0.002 | second_fire:0.004 | forward:0.006 | back:0.001 | left:0.003 | right:0.001 | jump:0.000 | crouch:0.000 | shift:0.001 | weapon1:0.000 | weapon2:0.000 | weapon3:0.001 | c4:0.000 | reload:0.000 | he:0.000 | molotov:0.000 | smoke:0.001 | flash:0.000 | decoy:0.000 | use:0.004
17:20:49.523 | FPS:3.2 | mouse_delta:(-0.022, +0.005) | mouse_px:(+0, +0) | pressed:[none] | keys: fire:0.002 | second_fire:0.004 | forward:0.006 | back:0.001 | left:0.003 | right:0.001 | jump:0.000 | crouch:0.000 | shift:0.001 | weapon1:0.000 | weapon2:0.000 | weapon3:0.001 | c4:0.000 | reload:0.000 | he:0.000 | molotov:0.000 | smoke:0.001 | flash:0.000 | decoy:0.000 | use:0.004
17:20:49.733 | FPS:3.2 | mouse_delta:(-0.022, +0.005) | mouse_px:(+0, +0) | pressed:[none] | keys: fire:0.002 | second_fire:0.004 | forward:0.006 | back:0.001 | left:0.003 | right:0.001 | jump:0.000 | crouch:0.000 | shift:0.001 | weapon1:0.000 | weapon2:0.000 | weapon3:0.001 | c4:0.000 | reload:0.000 | he:0.000 | molotov:0.000 | smoke:0.001 | flash:0.000 | decoy:0.000 | use:0.004
17:20:49.950 | FPS:3.2 | mouse_delta:(-0.022, +0.005) | mouse_px:(+0, +0) | pressed:[none] | keys: fire:0.002 | second_fire:0.004 | forward:0.006 | back:0.001 | left:0.003 | right:0.001 | jump:0.000 | crouch:0.000 | shift:0.001 | weapon1:0.000 | weapon2:0.000 | weapon3:0.001 | c4:0.000 | reload:0.000 | he:0.000 | molotov:0.000 | smoke:0.001 | flash:0.000 | decoy:0.000 | use:0.004
17:20:50.185 | FPS:3.2 | mouse_delta:(-0.022, +0.005) | mouse_px:(+0, +0) | pressed:[none] | keys: fire:0.002 | second_fire:0.004 | forward:0.006 | back:0.001 | left:0.003 | right:0.001 | jump:0.000 | crouch:0.000 | shift:0.001 | weapon1:0.000 | weapon2:0.000 | weapon3:0.001 | c4:0.000 | reload:0.000 | he:0.000 | molotov:0.000 | smoke:0.001 | flash:0.000 | decoy:0.000 | use:0.004
17:20:50.394 | FPS:3.1 | mouse_delta:(-0.022, +0.005) | mouse_px:(+0, +0) | pressed:[none] | keys: fire:0.002 | second_fire:0.004 | forward:0.006 | back:0.001 | left:0.003 | right:0.001 | jump:0.000 | crouch:0.000 | shift:0.001 | weapon1:0.000 | weapon2:0.000 | weapon3:0.001 | c4:0.000 | reload:0.000 | he:0.000 | molotov:0.000 | smoke:0.001 | flash:0.000 | decoy:0.000 | use:0.004
17:20:50.605 | FPS:4.5 | mouse_delta:(-0.022, +0.005) | mouse_px:(+0, +0) | pressed:[none] | keys: fire:0.002 | second_fire:0.004 | forward:0.006 | back:0.001 | left:0.003 | right:0.001 | jump:0.000 | crouch:0.000 | shift:0.001 | weapon1:0.000 | weapon2:0.000 | weapon3:0.001 | c4:0.000 | reload:0.000 | he:0.000 | molotov:0.000 | smoke:0.001 | flash:0.000 | decoy:0.000 | use:0.004
17:20:50.832 | FPS:4.6 | mouse_delta:(-0.022, +0.005) | mouse_px:(+0, +0) | pressed:[none] | keys: fire:0.002 | second_fire:0.004 | forward:0.006 | back:0.001 | left:0.003 | right:0.001 | jump:0.000 | crouch:0.000 | shift:0.001 | weapon1:0.000 | weapon2:0.000 | weapon3:0.001 | c4:0.000 | reload:0.000 | he:0.000 | molotov:0.000 | smoke:0.001 | flash:0.000 | decoy:0.000 | use:0.004
17:20:51.073 | FPS:4.6 | mouse_delta:(-0.022, +0.005) | mouse_px:(+0, +0) | pressed:[none] | keys: fire:0.002 | second_fire:0.004 | forward:0.006 | back:0.001 | left:0.003 | right:0.001 | jump:0.000 | crouch:0.000 | shift:0.001 | weapon1:0.000 | weapon2:0.000 | weapon3:0.001 | c4:0.000 | reload:0.000 | he:0.000 | molotov:0.000 | smoke:0.001 | flash:0.000 | decoy:0.000 | use:0.004
17:20:51.311 | FPS:4.6 | mouse_delta:(-0.022, +0.005) | mouse_px:(+0, +0) | pressed:[none] | keys: fire:0.002 | second_fire:0.004 | forward:0.006 | back:0.001 | left:0.003 | right:0.001 | jump:0.000 | crouch:0.000 | shift:0.001 | weapon1:0.000 | weapon2:0.000 | weapon3:0.001 | c4:0.000 | reload:0.000 | he:0.000 | molotov:0.000 | smoke:0.001 | flash:0.000 | decoy:0.000 | use:0.004
17:20:51.587 | FPS:4.6 | mouse_delta:(-0.022, +0.005) | mouse_px:(+0, +0) | pressed:[none] | keys: fire:0.002 | second_fire:0.004 | forward:0.006 | back:0.001 | left:0.003 | right:0.001 | jump:0.000 | crouch:0.000 | shift:0.001 | weapon1:0.000 | weapon2:0.000 | weapon3:0.001 | c4:0.000 | reload:0.000 | he:0.000 | molotov:0.000 | smoke:0.001 | flash:0.000 | decoy:0.000 | use:0.004
17:20:51.822 | FPS:4.5 | mouse_delta:(-0.022, +0.005) | mouse_px:(+0, +0) | pressed:[none] | keys: fire:0.002 | second_fire:0.004 | forward:0.006 | back:0.001 | left:0.003 | right:0.001 | jump:0.000 | crouch:0.000 | shift:0.001 | weapon1:0.000 | weapon2:0.000 | weapon3:0.001 | c4:0.000 | reload:0.000 | he:0.000 | molotov:0.000 | smoke:0.001 | flash:0.000 | decoy:0.000 | use:0.004
17:20:52.032 | FPS:4.5 | mouse_delta:(-0.022, +0.005) | mouse_px:(+0, +0) | pressed:[none] | keys: fire:0.002 | second_fire:0.004 | forward:0.006 | back:0.001 | left:0.003 | right:0.001 | jump:0.000 | crouch:0.000 | shift:0.001 | weapon1:0.000 | weapon2:0.000 | weapon3:0.001 | c4:0.000 | reload:0.000 | he:0.000 | molotov:0.000 | smoke:0.001 | flash:0.000 | decoy:0.000 | use:0.004
17:20:52.279 | FPS:4.5 | mouse_delta:(-0.022, +0.005) | mouse_px:(+0, +0) | pressed:[none] | keys: fire:0.002 | second_fire:0.004 | forward:0.006 | back:0.001 | left:0.003 | right:0.001 | jump:0.000 | crouch:0.000 | shift:0.001 | weapon1:0.000 | weapon2:0.000 | weapon3:0.001 | c4:0.000 | reload:0.000 | he:0.000 | molotov:0.000 | smoke:0.001 | flash:0.000 | decoy:0.000 | use:0.004
17:20:52.483 | FPS:4.5 | mouse_delta:(-0.022, +0.005) | mouse_px:(+0, +0) | pressed:[none] | keys: fire:0.002 | second_fire:0.004 | forward:0.006 | back:0.001 | left:0.003 | right:0.001 | jump:0.000 | crouch:0.000 | shift:0.001 | weapon1:0.000 | weapon2:0.000 | weapon3:0.001 | c4:0.000 | reload:0.000 | he:0.000 | molotov:0.000 | smoke:0.001 | flash:0.000 | decoy:0.000 | use:0.004
17:20:52.688 | FPS:4.5 | mouse_delta:(-0.022, +0.005) | mouse_px:(+0, +0) | pressed:[none] | keys: fire:0.002 | second_fire:0.004 | forward:0.006 | back:0.001 | left:0.003 | right:0.001 | jump:0.000 | crouch:0.000 | shift:0.001 | weapon1:0.000 | weapon2:0.000 | weapon3:0.001 | c4:0.000 | reload:0.000 | he:0.000 | molotov:0.000 | smoke:0.001 | flash:0.000 | decoy:0.000 | use:0.004
17:20:52.915 | FPS:4.5 | mouse_delta:(-0.022, +0.005) | mouse_px:(+0, +0) | pressed:[none] | keys: fire:0.002 | second_fire:0.004 | forward:0.006 | back:0.001 | left:0.003 | right:0.001 | jump:0.000 | crouch:0.000 | shift:0.001 | weapon1:0.000 | weapon2:0.000 | weapon3:0.001 | c4:0.000 | reload:0.000 | he:0.000 | molotov:0.000 | smoke:0.001 | flash:0.000 | decoy:0.000 | use:0.004
17:20:53.145 | FPS:4.5 | mouse_delta:(-0.022, +0.005) | mouse_px:(+0, +0) | pressed:[none] | keys: fire:0.002 | second_fire:0.004 | forward:0.006 | back:0.001 | left:0.003 | right:0.001 | jump:0.000 | crouch:0.000 | shift:0.001 | weapon1:0.000 | weapon2:0.000 | weapon3:0.001 | c4:0.000 | reload:0.000 | he:0.000 | molotov:0.000 | smoke:0.001 | flash:0.000 | decoy:0.000 | use:0.004
17:20:53.353 | FPS:4.5 | mouse_delta:(-0.022, +0.005) | mouse_px:(+0, +0) | pressed:[none] | keys: fire:0.002 | second_fire:0.004 | forward:0.006 | back:0.001 | left:0.003 | right:0.001 | jump:0.000 | crouch:0.000 | shift:0.001 | weapon1:0.000 | weapon2:0.000 | weapon3:0.001 | c4:0.000 | reload:0.000 | he:0.000 | molotov:0.000 | smoke:0.001 | flash:0.000 | decoy:0.000 | use:0.004
17:20:53.559 | FPS:4.5 | mouse_delta:(-0.022, +0.005) | mouse_px:(+0, +0) | pressed:[none] | keys: fire:0.002 | second_fire:0.004 | forward:0.006 | back:0.001 | left:0.003 | right:0.001 | jump:0.000 | crouch:0.000 | shift:0.001 | weapon1:0.000 | weapon2:0.000 | weapon3:0.001 | c4:0.000 | reload:0.000 | he:0.000 | molotov:0.000 | smoke:0.001 | flash:0.000 | decoy:0.000 | use:0.004
17:20:53.770 | FPS:4.5 | mouse_delta:(-0.022, +0.005) | mouse_px:(+0, +0) | pressed:[none] | keys: fire:0.002 | second_fire:0.004 | forward:0.006 | back:0.001 | left:0.003 | right:0.001 | jump:0.000 | crouch:0.000 | shift:0.001 | weapon1:0.000 | weapon2:0.000 | weapon3:0.001 | c4:0.000 | reload:0.000 | he:0.000 | molotov:0.000 | smoke:0.001 | flash:0.000 | decoy:0.000 | use:0.004
17:20:53.990 | FPS:4.5 | mouse_delta:(-0.022, +0.005) | mouse_px:(+0, +0) | pressed:[none] | keys: fire:0.002 | second_fire:0.004 | forward:0.006 | back:0.001 | left:0.003 | right:0.001 | jump:0.000 | crouch:0.000 | shift:0.001 | weapon1:0.000 | weapon2:0.000 | weapon3:0.001 | c4:0.000 | reload:0.000 | he:0.000 | molotov:0.000 | smoke:0.001 | flash:0.000 | decoy:0.000 | use:0.004
17:20:54.204 | FPS:4.5 | mouse_delta:(-0.022, +0.005) | mouse_px:(+0, +0) | pressed:[none] | keys: fire:0.002 | second_fire:0.004 | forward:0.006 | back:0.001 | left:0.003 | right:0.001 | jump:0.000 | crouch:0.000 | shift:0.001 | weapon1:0.000 | weapon2:0.000 | weapon3:0.001 | c4:0.000 | reload:0.000 | he:0.000 | molotov:0.000 | smoke:0.001 | flash:0.000 | decoy:0.000 | use:0.004
17:20:54.418 | FPS:4.6 | mouse_delta:(-0.022, +0.005) | mouse_px:(+0, +0) | pressed:[none] | keys: fire:0.002 | second_fire:0.004 | forward:0.006 | back:0.001 | left:0.003 | right:0.001 | jump:0.000 | crouch:0.000 | shift:0.001 | weapon1:0.000 | weapon2:0.000 | weapon3:0.001 | c4:0.000 | reload:0.000 | he:0.000 | molotov:0.000 | smoke:0.001 | flash:0.000 | decoy:0.000 | use:0.004
17:20:54.613 | FPS:4.6 | mouse_delta:(-0.022, +0.005) | mouse_px:(+0, +0) | pressed:[none] | keys: fire:0.002 | second_fire:0.004 | forward:0.006 | back:0.001 | left:0.003 | right:0.001 | jump:0.000 | crouch:0.000 | shift:0.001 | weapon1:0.000 | weapon2:0.000 | weapon3:0.001 | c4:0.000 | reload:0.000 | he:0.000 | molotov:0.000 | smoke:0.001 | flash:0.000 | decoy:0.000 | use:0.004
17:20:54.613 | DIAG: scene_frames=16 | radar_frames=32 | state=NO | audio=YES
17:20:54.833 | FPS:4.6 | mouse_delta:(-0.022, +0.005) | mouse_px:(+0, +0) | pressed:[none] | keys: fire:0.002 | second_fire:0.004 | forward:0.006 | back:0.001 | left:0.003 | right:0.001 | jump:0.000 | crouch:0.000 | shift:0.001 | weapon1:0.000 | weapon2:0.000 | weapon3:0.001 | c4:0.000 | reload:0.000 | he:0.000 | molotov:0.000 | smoke:0.001 | flash:0.000 | decoy:0.000 | use:0.004
17:20:55.036 | FPS:4.6 | mouse_delta:(-0.022, +0.005) | mouse_px:(+0, +0) | pressed:[none] | keys: fire:0.002 | second_fire:0.004 | forward:0.006 | back:0.001 | left:0.003 | right:0.001 | jump:0.000 | crouch:0.000 | shift:0.001 | weapon1:0.000 | weapon2:0.000 | weapon3:0.001 | c4:0.000 | reload:0.000 | he:0.000 | molotov:0.000 | smoke:0.001 | flash:0.000 | decoy:0.000 | use:0.004
