16:42:47.717 | === Inference Log Started ===
16:43:00.183 | FPS:1.6 | mouse_delta:(-0.029, -0.154) | mouse_px:(-1, -7) | pressed:[3,4,5,d,e,f,mouse2,mouse5,r,shift,space,w] | keys: fire:0.486 | second_fire:0.517 | forward:0.555 | back:0.451 | left:0.469 | right:0.513 | jump:0.507 | crouch:0.399 | shift:0.533 | weapon1:0.447 | weapon2:0.465 | weapon3:0.558 | c4:0.546 | reload:0.577 | he:0.534 | molotov:0.446 | smoke:0.509 | flash:0.515 | decoy:0.442 | use:0.568
16:43:00.535 | FPS:1.7 | mouse_delta:(-0.026, -0.157) | mouse_px:(-1, -7) | pressed:[3,4,5,d,e,f,mouse2,mouse5,r,shift,space,w] | keys: fire:0.486 | second_fire:0.517 | forward:0.555 | back:0.450 | left:0.469 | right:0.513 | jump:0.507 | crouch:0.399 | shift:0.532 | weapon1:0.447 | weapon2:0.465 | weapon3:0.558 | c4:0.547 | reload:0.577 | he:0.534 | molotov:0.446 | smoke:0.509 | flash:0.514 | decoy:0.443 | use:0.568
16:43:00.902 | FPS:1.7 | mouse_delta:(-0.023, -0.160) | mouse_px:(-1, -7) | pressed:[3,4,5,d,e,f,mouse2,mouse5,r,shift,space,w] | keys: fire:0.486 | second_fire:0.517 | forward:0.555 | back:0.450 | left:0.470 | right:0.512 | jump:0.507 | crouch:0.398 | shift:0.532 | weapon1:0.447 | weapon2:0.466 | weapon3:0.559 | c4:0.549 | reload:0.578 | he:0.533 | molotov:0.446 | smoke:0.510 | flash:0.513 | decoy:0.443 | use:0.568
16:43:01.259 | FPS:1.8 | mouse_delta:(-0.020, -0.163) | mouse_px:(+0, -7) | pressed:[3,4,5,d,e,f,mouse2,mouse5,r,shift,space,w] | keys: fire:0.486 | second_fire:0.517 | forward:0.554 | back:0.451 | left:0.470 | right:0.512 | jump:0.507 | crouch:0.398 | shift:0.532 | weapon1:0.447 | weapon2:0.466 | weapon3:0.560 | c4:0.549 | reload:0.578 | he:0.533 | molotov:0.445 | smoke:0.511 | flash:0.512 | decoy:0.444 | use:0.568
16:43:01.614 | FPS:1.8 | mouse_delta:(-0.019, -0.165) | mouse_px:(+0, -7) | pressed:[3,4,5,d,e,f,mouse2,mouse5,r,shift,space,w] | keys: fire:0.486 | second_fire:0.518 | forward:0.554 | back:0.451 | left:0.470 | right:0.512 | jump:0.506 | crouch:0.398 | shift:0.532 | weapon1:0.447 | weapon2:0.466 | weapon3:0.560 | c4:0.550 | reload:0.578 | he:0.533 | molotov:0.445 | smoke:0.511 | flash:0.512 | decoy:0.444 | use:0.568
16:43:01.995 | FPS:1.9 | mouse_delta:(-0.017, -0.166) | mouse_px:(+0, -7) | pressed:[3,4,5,d,e,f,mouse2,mouse5,r,shift,space,w] | keys: fire:0.486 | second_fire:0.518 | forward:0.554 | back:0.451 | left:0.470 | right:0.512 | jump:0.506 | crouch:0.398 | shift:0.532 | weapon1:0.447 | weapon2:0.466 | weapon3:0.561 | c4:0.550 | reload:0.578 | he:0.533 | molotov:0.446 | smoke:0.511 | flash:0.512 | decoy:0.445 | use:0.567
16:43:02.374 | FPS:1.9 | mouse_delta:(-0.015, -0.167) | mouse_px:(+0, -7) | pressed:[3,4,5,d,e,f,mouse2,mouse5,r,shift,space,w] | keys: fire:0.486 | second_fire:0.518 | forward:0.554 | back:0.451 | left:0.470 | right:0.512 | jump:0.506 | crouch:0.397 | shift:0.532 | weapon1:0.447 | weapon2:0.466 | weapon3:0.561 | c4:0.551 | reload:0.578 | he:0.533 | molotov:0.446 | smoke:0.511 | flash:0.511 | decoy:0.445 | use:0.567
16:43:02.752 | FPS:1.9 | mouse_delta:(-0.014, -0.168) | mouse_px:(+0, -7) | pressed:[3,4,5,d,e,f,mouse2,mouse5,r,shift,space,w] | keys: fire:0.485 | second_fire:0.518 | forward:0.554 | back:0.451 | left:0.470 | right:0.511 | jump:0.506 | crouch:0.397 | shift:0.532 | weapon1:0.447 | weapon2:0.466 | weapon3:0.561 | c4:0.551 | reload:0.577 | he:0.533 | molotov:0.446 | smoke:0.511 | flash:0.511 | decoy:0.445 | use:0.567
16:43:03.121 | FPS:1.9 | mouse_delta:(-0.013, -0.169) | mouse_px:(+0, -7) | pressed:[3,4,5,d,e,f,mouse2,mouse5,r,shift,space,w] | keys: fire:0.485 | second_fire:0.518 | forward:0.554 | back:0.451 | left:0.470 | right:0.511 | jump:0.506 | crouch:0.397 | shift:0.532 | weapon1:0.447 | weapon2:0.466 | weapon3:0.561 | c4:0.551 | reload:0.577 | he:0.533 | molotov:0.446 | smoke:0.511 | flash:0.511 | decoy:0.445 | use:0.566
16:43:03.494 | FPS:2.0 | mouse_delta:(-0.012, -0.169) | mouse_px:(+0, -7) | pressed:[3,4,5,d,e,f,mouse2,mouse5,r,shift,space,w] | keys: fire:0.485 | second_fire:0.518 | forward:0.553 | back:0.451 | left:0.470 | right:0.511 | jump:0.505 | crouch:0.397 | shift:0.532 | weapon1:0.447 | weapon2:0.466 | weapon3:0.561 | c4:0.551 | reload:0.577 | he:0.533 | molotov:0.446 | smoke:0.510 | flash:0.511 | decoy:0.445 | use:0.566
