16:57:12.112 | === Inference Log Started ===
16:57:16.457 | DIAG: scene_frames=1 | radar_frames=1 | state=NO | audio=YES
16:57:22.283 | FPS:2.5 | mouse_delta:(-0.054, +0.184) | mouse_px:(-2, +8) | pressed:[none] | keys: fire:0.513 | second_fire:0.549 | forward:0.548 | back:0.454 | left:0.508 | right:0.544 | jump:0.402 | crouch:0.441 | shift:0.575 | weapon1:0.564 | weapon2:0.520 | weapon3:0.518 | c4:0.489 | reload:0.564 | he:0.474 | molotov:0.376 | smoke:0.463 | flash:0.462 | decoy:0.509 | use:0.459
16:57:22.461 | FPS:2.6 | mouse_delta:(-0.055, +0.185) | mouse_px:(-2, +8) | pressed:[none] | keys: fire:0.513 | second_fire:0.549 | forward:0.549 | back:0.454 | left:0.508 | right:0.544 | jump:0.402 | crouch:0.441 | shift:0.575 | weapon1:0.564 | weapon2:0.519 | weapon3:0.518 | c4:0.489 | reload:0.564 | he:0.474 | molotov:0.376 | smoke:0.463 | flash:0.462 | decoy:0.509 | use:0.460
16:57:22.636 | FPS:2.7 | mouse_delta:(-0.056, +0.185) | mouse_px:(-2, +8) | pressed:[none] | keys: fire:0.513 | second_fire:0.549 | forward:0.549 | back:0.454 | left:0.509 | right:0.544 | jump:0.402 | crouch:0.441 | shift:0.574 | weapon1:0.564 | weapon2:0.519 | weapon3:0.518 | c4:0.489 | reload:0.564 | he:0.474 | molotov:0.376 | smoke:0.463 | flash:0.462 | decoy:0.509 | use:0.460
16:57:22.827 | FPS:2.8 | mouse_delta:(-0.057, +0.185) | mouse_px:(-2, +8) | pressed:[none] | keys: fire:0.514 | second_fire:0.549 | forward:0.549 | back:0.454 | left:0.509 | right:0.544 | jump:0.402 | crouch:0.441 | shift:0.574 | weapon1:0.564 | weapon2:0.519 | weapon3:0.518 | c4:0.489 | reload:0.564 | he:0.474 | molotov:0.376 | smoke:0.464 | flash:0.462 | decoy:0.509 | use:0.460
16:57:23.017 | FPS:2.8 | mouse_delta:(-0.059, +0.186) | mouse_px:(-2, +8) | pressed:[none] | keys: fire:0.514 | second_fire:0.549 | forward:0.549 | back:0.454 | left:0.508 | right:0.544 | jump:0.402 | crouch:0.441 | shift:0.574 | weapon1:0.564 | weapon2:0.519 | weapon3:0.518 | c4:0.489 | reload:0.564 | he:0.474 | molotov:0.376 | smoke:0.464 | flash:0.462 | decoy:0.509 | use:0.460
16:57:23.193 | FPS:2.9 | mouse_delta:(-0.061, +0.187) | mouse_px:(-2, +8) | pressed:[none] | keys: fire:0.515 | second_fire:0.549 | forward:0.549 | back:0.454 | left:0.508 | right:0.544 | jump:0.401 | crouch:0.441 | shift:0.574 | weapon1:0.564 | weapon2:0.518 | weapon3:0.518 | c4:0.489 | reload:0.564 | he:0.474 | molotov:0.376 | smoke:0.464 | flash:0.462 | decoy:0.509 | use:0.460
16:57:23.385 | FPS:3.0 | mouse_delta:(-0.064, +0.189) | mouse_px:(-2, +8) | pressed:[none] | keys: fire:0.515 | second_fire:0.549 | forward:0.549 | back:0.454 | left:0.508 | right:0.544 | jump:0.401 | crouch:0.441 | shift:0.574 | weapon1:0.564 | weapon2:0.518 | weapon3:0.518 | c4:0.489 | reload:0.564 | he:0.474 | molotov:0.376 | smoke:0.464 | flash:0.462 | decoy:0.509 | use:0.459
16:57:23.577 | FPS:3.0 | mouse_delta:(-0.066, +0.190) | mouse_px:(-3, +8) | pressed:[none] | keys: fire:0.516 | second_fire:0.549 | forward:0.549 | back:0.454 | left:0.508 | right:0.544 | jump:0.401 | crouch:0.442 | shift:0.574 | weapon1:0.563 | weapon2:0.518 | weapon3:0.518 | c4:0.490 | reload:0.564 | he:0.474 | molotov:0.376 | smoke:0.465 | flash:0.462 | decoy:0.509 | use:0.459
16:57:23.756 | FPS:3.1 | mouse_delta:(-0.069, +0.192) | mouse_px:(-3, +8) | pressed:[none] | keys: fire:0.517 | second_fire:0.549 | forward:0.549 | back:0.453 | left:0.508 | right:0.544 | jump:0.400 | crouch:0.442 | shift:0.574 | weapon1:0.563 | weapon2:0.517 | weapon3:0.518 | c4:0.490 | reload:0.564 | he:0.474 | molotov:0.376 | smoke:0.465 | flash:0.461 | decoy:0.509 | use:0.459
16:57:23.972 | FPS:3.2 | mouse_delta:(-0.073, +0.193) | mouse_px:(-3, +8) | pressed:[none] | keys: fire:0.518 | second_fire:0.549 | forward:0.549 | back:0.453 | left:0.508 | right:0.544 | jump:0.400 | crouch:0.442 | shift:0.574 | weapon1:0.563 | weapon2:0.517 | weapon3:0.518 | c4:0.490 | reload:0.564 | he:0.474 | molotov:0.376 | smoke:0.465 | flash:0.461 | decoy:0.509 | use:0.458
